"Time-Step";"flow-time";"tensao-a";"tensao-b";"tensao-c"
253;0.02108249;32.53325770968984;903.2950763843961;-689.4057133945244
254;0.02116582;-40.96609741480089;890.7128143093487;-668.0194266267372
255;0.02124915;-114.7575752079121;878.277365587437;-646.7215762942752
256;0.02133248;-189.6852108183876;865.8815626256734;-627.0001870643008
257;0.02141581;-260.7723321291716;858.0488871979178;-604.2283067292273
258;0.02149914;-331.2127690203884;852.5795977124067;-581.4769484372736
259;0.02158247;-405.893789514176;840.9168674644301;-563.7457175650853
260;0.0216658;-471.5243117061161;840.1699547499136;-538.3599526903579
261;0.02174913;-540.8189623397551;833.7933201676923;-518.3688977725971
262;0.02183246;-608.533203434322;827.2242010642915;-500.5198861012973
263;0.02191579;-668.2052871043343;826.660181341311;-476.9261901273391
264;0.02199912;-724.5202848427961;825.9668366698505;-454.1038788055885
265;0.02208245;-778.2022625634186;822.1455441541015;-434.6521766304685
266;0.02216578;-827.0551420862208;819.7065865473838;-413.9655256600021
267;0.02224911;-869.5674306943282;817.7137234781186;-394.4712511455731
268;0.02233244;-907.9961977931943;816.0605557023378;-373.7341502371277
269;0.02241577;-939.0848124371116;814.5329292450014;-353.5577019824362
270;0.0224991;-964.9196159873708;812.7646347155613;-331.9153210127647
271;0.02258243;-987.3858495344415;810.4287588156192;-309.7644515760007
272;0.02266576;-1005.236550802222;808.7638828512115;-286.0523011743187
273;0.02274909;-1019.475062682366;806.8532183093395;-261.0417296727646
274;0.02283242;-1031.586922369527;805.268162333099;-233.8348600956162
275;0.02291575;-1041.413489196049;803.0863334047202;-203.4144933515924
276;0.02299908;-1048.336702482411;801.3771736270245;-171.3110009846363
277;0.02308241;-1052.983097880281;798.6392741194951;-135.4121919639433
278;0.02316574;-1058.22066564087;796.5220150410723;-94.47422102865724
279;0.02324907;-1063.872105757145;792.6575634685986;-49.41581099756044
280;0.0233324;-1067.629276137139;788.323098129376;-0.2622096370671146
281;0.02341573;-1070.404982450262;782.0570176254298;53.01552144312461
282;0.02349906;-1073.349351772209;775.9554249444924;110.3792220255896
283;0.02358239;-1076.134610288691;768.6987728374688;170.9907550195277
284;0.02366572;-1078.864867122074;760.7834746277026;234.2290626894089
285;0.02374905;-1080.565762196572;752.1733567524648;299.3938704988922
286;0.02383238;-1081.343636281821;743.1132836989268;365.8773131887177
287;0.02391571;-1082.331213259914;733.0730925342306;432.7850026591715
288;0.02399904;-1083.156634438728;722.8335823695037;499.8051883121426
289;0.02408237;-1083.274143264716;711.4073370938319;566.4829895125806
290;0.0241657;-1082.584555336267;699.6393110932029;632.5943376622886
291;0.02424903;-1081.109680179062;686.0777910039246;697.8065728535776
292;0.02433236;-1078.778198644036;672.6853023240602;762.0939831384634
293;0.02441569;-1077.018914243397;656.8941535923299;825.1964115372621
294;0.02449902;-1074.121599277254;640.7835381376658;886.7233869538559
295;0.02458235;-1069.195089444336;623.3412674306372;945.7475304681258
296;0.02466568;-1060.396242098777;605.3977759553087;1001.804278026289
297;0.02474901;-1054.240318255356;587.242590057782;1053.96280364995
298;0.02483234;-1047.952447730549;566.7213945782514;1101.063045624496
299;0.02491567;-1039.066301209826;546.4440320966124;1143.312469922745
300;0.024999;-1031.115326987278;525.2988413922219;1179.840122618159
301;0.02508233;-1025.063746103587;501.7250618916796;1210.858432569776
302;0.02516566;-1018.266718527323;477.9119044471794;1234.461593660343
303;0.02524899;-1013.695335738021;452.8568511416224;1251.664795410653
304;0.02533232;-1009.084888622075;426.6712699768744;1264.730715208715
305;0.02541565;-1004.155558219187;400.1710351901443;1275.950115400664
306;0.02549898;-1000.577198433586;373.4031532338362;1282.279177130997
307;0.02558231;-997.9686357269944;347.2661191315793;1285.508441985089
308;0.02566564;-991.2832486370287;321.2544385729596;1283.675024627567
309;0.02574897;-986.1526796717731;294.6401186405487;1278.068818576251
310;0.0258323;-986.0276840467066;265.185027787013;1271.550804427221
311;0.02591563;-984.6913655731828;233.8065105626648;1265.495146799286
312;0.02599896;-983.0952709603911;200.2510269042683;1259.37289014689
313;0.02608229;-978.9920427306795;164.4478974435428;1252.155921534952
314;0.02616562;-972.9229995444343;126.0349531884238;1239.467454004802
315;0.02624895;-970.9342777101385;83.64761694456838;1230.037138681907
316;0.02633228;-968.0378760998005;38.01071007577677;1221.503948735829
317;0.02641561;-962.7690172124051;-9.685220366509688;1214.864315991708
318;0.02649894;-955.4958407563042;-60.25995093327918;1205.028467763718
319;0.02658227;-949.2873848172532;-113.9701788718405;1197.113978410523
320;0.0266656;-942.7967946111326;-170.1351809270985;1187.383679576407
321;0.02674893;-934.978347270912;-228.4975912042964;1177.455727530896
322;0.02683226;-926.5571789084157;-288.2140572073857;1166.209189895861
323;0.02691559;-919.5975181531282;-349.0471076327295;1154.880644659775
324;0.02699892;-909.4560466588871;-409.6895666217021;1145.289514020521
325;0.02708225;-901.0592641861103;-471.1020627230449;1132.235806546802
326;0.02716558;-887.4194219590927;-531.4198880945429;1120.615197934147
327;0.02724891;-878.3806112874848;-591.1715095294285;1110.806631293489
328;0.02733224;-867.4934210262768;-649.1964408983422;1097.478315245425
329;0.02741557;-859.8021289546112;-704.1445017322512;1084.691663019906
330;0.0274989;-846.131894190196;-752.779042970838;1072.420338901218
331;0.02758223;-838.177549556747;-803.7547007217569;1054.571687464391
332;0.02766556;-822.8172177864598;-842.1705409929249;1043.600649417936
333;0.02774889;-805.9121070380611;-874.8904599448051;1032.830501834881
334;0.02783222;-792.6746257057977;-910.9501800927109;1016.353321456048
335;0.02791555;-772.5861810932977;-932.6297482404985;1004.320131796219
336;0.02799888;-751.2033522995176;-950.5805309878456;993.3553920327025
337;0.02808221;-727.054564512645;-960.8735420679388;980.8465267113593
338;0.02816554;-706.4977784940476;-976.9992489377634;967.062066289819
339;0.02824887;-693.8179034250684;-995.8865047968616;938.9529542504222
340;0.0283322;-670.9506221145456;-1002.853005908755;924.5827206490134
341;0.02841553;-644.1006412659519;-1002.351872062608;910.7101380998195
342;0.02849886;-620.4738139820987;-1006.024213433143;892.4069375922256
343;0.02858219;-592.7595488613773;-1006.332907018249;877.257590971132
344;0.02866552;-562.0233082273236;-1004.912195596617;861.9758461281847
345;0.02874885;-527.0298589996075;-1000.256413500958;845.9482744879052
346;0.02883218;-486.0087156534656;-993.1758878909062;829.127256187786
347;0.02891551;-437.4570895862018;-982.6771279297551;811.6902037840927
348;0.02899884;-381.4593150337918;-970.9372372339898;793.3657528528329
349;0.02908217;-318.2266830616408;-958.0871597891223;774.2897677724194
350;0.0291655;-249.7988614536345;-941.9107996151175;754.3373956570763
351;0.02924883;-178.8008423406351;-928.4290200617031;733.2754317920984
352;0.02933216;-105.7670197187497;-912.0619758719299;712.6795157902257
353;0.02941549;-32.38264041535343;-899.1749501205627;689.4427481000195
354;0.02949882;41.31933301626149;-886.299489278729;666.1752345040467
355;0.02958215;114.9349943169756;-873.1339002277266;643.1997081330031
356;0.02966548;188.0093616585838;-863.1209621181839;619.6549936430991
357;0.02974881;260.831760677046;-852.8527640275399;596.9479626357614
358;0.02983214;332.991704075426;-844.1814510128102;573.8422064215836
359;0.02991547;404.1822225726709;-837.3587997926815;551.8530760697454
360;0.0299988;473.8630064093248;-831.7824774423142;529.6674259268381
361;0.03008213;542.0458602860657;-826.6247795002225;507.859120551753
362;0.03016546;606.9405758594705;-822.1699356578843;486.5651660231189
363;0.03024879;668.6545965954651;-818.9328990513575;465.7492029124805
364;0.03033212;725.7459823511144;-816.2950103922274;444.8444637056195
365;0.03041545;778.470382273786;-814.1517623187877;424.7181435770469
366;0.03049878;825.5782087648439;-812.4400543655274;403.8419673549911
367;0.03058211;867.7129557652856;-811.5259725523556;383.5153587602526
368;0.03066544;905.2191033245415;-811.2728289237799;362.7603615049912
369;0.03074877;935.6284746675778;-810.9745096048487;342.3674319714085
370;0.0308321;960.5028891498515;-810.7053866083583;321.1076546435709
371;0.03091543;981.9140041081466;-809.868064224413;299.0592796461856
372;0.03099876;998.9377197667496;-809.064349755199;275.7548576842719
373;0.03108209;1011.338381907645;-809.0399429710609;251.3952528368699
374;0.03116542;1023.521158553944;-807.0556077611702;224.9808185122264
375;0.03124875;1033.43580558744;-805.770612831469;196.1936075493431
376;0.03133208;1040.161886473159;-803.9130598551292;164.9084920539482
377;0.03141541;1045.298874650031;-801.948290012828;129.8522819486735
378;0.03149874;1050.3093891584;-799.2966613736497;90.42449479995625
379;0.03158207;1053.65332067513;-796.3427089815442;45.71387750977065
380;0.0316654;1057.604182769251;-791.7699580242659;-3.418592673296892
381;0.03174873;1060.460748903329;-786.8936094278531;-56.96802511279724
382;0.03183206;1062.360109079907;-780.1792284479669;-114.1934073106593
383;0.03191539;1064.576400216446;-772.9788595859983;-174.6195762793806
384;0.03199872;1065.769743333689;-764.837467589556;-237.7033965449992
385;0.03208205;1066.335120536073;-755.8782134227258;-302.704293892743
386;0.03216538;1066.787993132087;-746.4863381353719;-368.8991274883891
387;0.03224871;1067.128245200605;-736.1932762835335;-435.6359147233748
388;0.03233204;1066.831732907623;-725.6920942104541;-502.6558396514845
389;0.03241537;1067.883920545466;-714.3767114346999;-569.0341757685374
390;0.0324987;1067.514753358069;-701.8315750782244;-635.0442371673332
391;0.03258203;1066.128781026725;-688.7428596623816;-700.1735538932581
392;0.03266536;1063.383992048356;-673.9120393252457;-764.1998067862671
