Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
226.0;0.018758;10960176.69940525;2456980.468385431;13209764.38560887
227.0;0.018841;10409354.48330693;3138502.518447445;13423495.7264045
228.0;0.018924;9875498.961851096;3818916.954831788;13610379.34962959
229.0;0.019007;9330426.268399583;4501263.94607531;13814165.04130646
230.0;0.01909;8795093.692567594;5166908.277103011;13975320.82245919
231.0;0.019173;8232237.316602464;5831025.734598187;14145320.9019352
232.0;0.019256;7726320.101176475;6466363.869452691;14301745.65237588
233.0;0.019339;7198169.536206558;7100949.96705985;14455162.3898325
234.0;0.019422;6690095.042522272;7713714.078922644;14599943.37781535
235.0;0.019505;6186628.015581184;8320894.262298414;14745749.45066731
236.0;0.019588;5696748.68118155;8928025.001420362;14890770.86298861
237.0;0.019671;5220425.560588621;9532635.747384205;15041650.80739554
238.0;0.019754;4753801.590525075;10168704.82890642;15230210.05718597
239.0;0.019837;4301914.219244507;10973278.04042987;15551543.42347097
240.0;0.01992;3844335.204084944;11931827.96601766;16013573.53484575
241.0;0.020003;3425986.618016555;12988085.98841812;16555855.78906825
242.0;0.020086;3022975.539363142;14158078.86305879;17165769.04478945
243.0;0.020169;2637182.567747067;15369906.63454399;17814197.31279816
244.0;0.020252;2271743.276130645;16436419.04178173;18387918.58024649
245.0;0.020335;1914276.48994651;17354524.58702879;18828571.72777897
246.0;0.020418;1567147.644945998;18180770.24140748;19158283.80164377
247.0;0.020501;1234852.878723367;18879995.62469695;19306117.68375343
248.0;0.020584;915624.8844866053;19478473.82670654;19406441.67700887
249.0;0.020667;599768.9662440139;19882403.61193779;19177428.62272114
250.0;0.02075;293385.8232600486;20362590.15909594;19275178.43945739
251.0;0.020833;14412.74849043902;20662945.14714603;18958584.52763144
252.0;0.020916;310263.4503015054;21032710.76116833;18921578.25023562
253.0;0.020999;609549.7958040684;21160119.58220683;18334280.05101951
254.0;0.021082;903262.1178310084;21476609.39722421;18305725.71752093
255.0;0.021165;1197611.266789788;21591226.09275627;17782581.98286806
256.0;0.021248;1487921.37038371;21793898.97731965;17578692.65509548
257.0;0.021331;1780380.866284824;21810937.72177462;16935373.20505882
258.0;0.021414;2066139.033791848;21948401.07775299;16696438.72521466
259.0;0.021497;2353693.432410667;21936753.0034184;16105138.75055937
260.0;0.02158;2636068.977757517;21995510.51038919;15772633.2186245
261.0;0.021663;2919746.364373283;21886734.26295244;15065393.37149581
262.0;0.021746;3198164.361782857;21873761.96890027;14687798.80320845
263.0;0.021829;3476662.70070452;21719331.73180399;14000685.53027094
264.0;0.021912;3749780.092198;21638762.32406503;13580015.95132034
265.0;0.021995;4027878.794072952;21430281.64279868;12873326.55688009
266.0;0.022078;4300816.35305928;21272464.02403018;12367460.80304906
267.0;0.022161;4578917.634004877;21014376.41772157;11662308.26299701
268.0;0.022244;4862463.561101023;20782691.93519484;11078327.93995059
269.0;0.022327;5162926.512583088;20502952.37360319;10399949.84765975
270.0;0.02241;5454742.466435689;20214419.80409171;9755482.416135991
271.0;0.022493;5760636.873563956;19902843.2356978;9089561.60112404
272.0;0.022576;6087642.935586235;19578241.87456752;8428248.1028752
273.0;0.022659;6412819.026920469;19242172.37908431;7756883.637249447
