Time-Step;flow-time;tensao(plano-eletrodos-a);tensao(plano-eletrodos-b);tensao(plano-eletrodos-c)
315.0;0.026145;-837.7153779939716;-81.96312400571627;1065.502764282695
316.0;0.026228;-840.3760591724478;-91.91025827644557;1074.616502249829
317.0;0.026311;-851.6310868901619;-115.164336362638;1081.380684778654
318.0;0.026394;-855.2676331911705;-134.0200320205071;1089.122576862455
319.0;0.026477;-859.5242875159413;-156.8944492149293;1092.517766041635
320.0;0.02656;-859.416567960305;-180.3465705980706;1096.036102751422
321.0;0.026643;-862.735834005022;-204.7347801272198;1095.610490992324
322.0;0.026726;-860.9125953280758;-230.2080842381739;1092.667748749757
323.0;0.026809;-860.3867505369273;-256.1678525696108;1088.489557612344
324.0;0.026892;-856.3063377740793;-281.3615521918325;1083.328125526556
325.0;0.026975;-853.9188928034671;-303.0086039321722;1077.711967397104
326.0;0.027058;-847.9017952505917;-320.6831496104455;1072.822430095428
327.0;0.027141;-844.0947953352713;-334.2515457505864;1067.851092422024
328.0;0.027224;-835.7894346409485;-346.5898354663456;1058.972268200104
329.0;0.027307;-829.3096400096175;-357.8225720134512;1053.200553174097
330.0;0.02739;-816.5797623746697;-369.5785281611997;1044.993600672261
331.0;0.027473;-806.5565917388774;-380.5304924583206;1035.150400758251
332.0;0.027556;-790.6540345726156;-392.6442504618315;1026.080920369317
333.0;0.027639;-774.3796072210913;-404.8971682314292;1013.058362524677
334.0;0.027722;-755.4529981560725;-417.1883678685028;1001.28775822821
335.0;0.027805;-734.215516892568;-429.4781977737129;985.8948361109091
336.0;0.027888;-710.7195307418654;-441.7949617509524;971.232069485258
337.0;0.027971;-684.6459044238369;-453.5633071682074;953.4715181851741
338.0;0.028054;-656.1655313064323;-463.9472903577119;934.7308853102446
339.0;0.028137;-625.4412902091981;-473.5749771911518;913.9260651948241
340.0;0.02822;-589.8512303905187;-471.3254490876191;883.955303334291
341.0;0.028303;-549.5647773153862;-456.2387343687437;842.5332082353337
342.0;0.028386;-505.6628297776119;-429.5598640469942;792.5767805877983
343.0;0.028469;-458.2043183710007;-391.5425435842843;735.2622444465346
344.0;0.028552;-408.5838452078364;-349.6388944384802;673.7490605818401
345.0;0.028635;-359.6711659273454;-317.110011834629;613.1034307961331
346.0;0.028718;-311.7530684794884;-294.1445392514551;560.6124159867858
347.0;0.028801;-263.5452036031526;-274.6830926048777;517.9179476370423
348.0;0.028884;-214.7099869390339;-256.7021906158486;471.6241397362647
349.0;0.028967;-167.5094789065443;-248.3790549810735;439.3083998695294
350.0;0.02905;-120.596873015794;-243.7728130041433;404.8931924193113
351.0;0.029133;-75.23998574267581;-247.2192152477537;387.1305018066274
352.0;0.029216;-29.33127106401003;-249.6355251617144;358.1972483925274
353.0;0.029299;15.40551282747681;-257.8062475137432;344.8068442266111
354.0;0.029382;60.63665111876638;-263.8354422761394;319.6277830908733
355.0;0.029465;104.6231389266754;-275.2409300853225;309.9571359064718
356.0;0.029548;149.3937824777778;-282.7859990291719;285.1661293871339
357.0;0.029631;192.8060664206224;-295.3207757070618;275.8796247878703
358.0;0.029714;236.7144655096562;-304.4053835145647;253.640828886848
359.0;0.029797;279.6221947464929;-316.743009172194;241.4051160771952
360.0;0.02988;322.6672603897164;-328.0059581443083;223.9355324284422
