"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
277;0.02308241;15414269.22257048;23981063.37526545;4303704.591606759
278;0.02316574;16070745.43563972;23662852.70725268;3505364.522995815
279;0.02324907;16707206.94034602;23315803.11648169;2752959.489830009
280;0.0233324;17348075.79656953;22983543.58691902;2052647.545322078
281;0.02341573;17959919.28525638;22638846.50062554;1406478.490477563
282;0.02349906;18540409.69174687;22290577.6494196;813890.8435579257
283;0.02358239;19089756.84074057;21926010.73377849;267758.3934845596
284;0.02366572;19613905.63846879;21550629.49660672;240482.4666533432
285;0.02374905;20135962.23785111;21162449.33667899;715558.9705498107
286;0.02383238;20650982.7226081;20763142.79508532;1171591.347262062
287;0.02391571;21121010.88184592;20343823.39164392;1615822.206293243
288;0.02399904;21570971.93247916;19903049.09057249;2053460.829260159
289;0.02408237;21997504.27538928;19437450.28640367;2490638.119412098
290;0.0241657;22415408.0484945;18965277.1005604;2924809.425108398
291;0.02424903;22827394.76629234;18483149.76739562;3360115.181121822
292;0.02433236;23209716.04936223;17977827.54817092;3797731.9432777
293;0.02441569;23558778.23020352;17464483.01099899;4231978.730255995
294;0.02449902;23903008.20204831;16945127.39669037;4675994.714315823
295;0.02458235;24245302.67792964;16405818.67820024;5136722.657746103
296;0.02466568;24593298.50591376;15849184.83785536;5626439.24078756
297;0.02474901;24896274.17019404;15271040.55935375;6150955.486022673
298;0.02483234;25160461.76491201;14681159.31282942;6720081.332599434
299;0.02491567;25431459.07128774;14066790.2007128;7337261.781114389
300;0.024999;25664486.92305895;13414474.44627701;8002266.651065493
301;0.02508233;25839372.10571263;12758907.98092736;8762919.888639655
302;0.02516566;25991300.78518934;12069849.73507656;9654642.348985992
303;0.02524899;26102173.96204726;11360480.59142111;10602270.12330046
304;0.02533232;26164176.23789513;10629646.14379158;11525571.9569812
305;0.02541565;26194596.32576263;9879493.379891839;12379661.37666048
306;0.02549898;26176210.23219373;9106177.872674551;13222010.27077582
307;0.02558231;26106123.3047096;8300503.530353155;14053802.60947963
308;0.02566564;26056092.46628783;7482093.739710491;14889660.36787905
309;0.02574897;25940092.28124859;6641188.26809789;15701757.74702001
310;0.0258323;25732960.19031025;5822109.820007091;16430117.72394756
311;0.02591563;25506891.65607988;5010279.515157922;17125867.71874763
312;0.02599896;25261063.97809273;4218584.604026826;17789709.77871183
313;0.02608229;25008423.25452778;3445267.505026442;18445580.66090782
314;0.02616562;24752224.2287026;2692418.260121909;19153559.78704946
315;0.02624895;24422638.17723918;1975083.374500243;19773919.83921366
316;0.02633228;24070840.53613478;1297795.421666706;20353224.09908628
317;0.02641561;23709330.68565454;659513.3872075654;20878088.51322915
318;0.02649894;23347400.02692552;140548.7427695832;21419476.69708879
319;0.02658227;22932984.93609843;552575.1423305158;21893816.3577724
320;0.0266656;22503682.92934979;1080947.857448223;22342186.8850223
321;0.02674893;22048187.92826169;1582211.049841643;22753940.00192223
322;0.02683226;21569257.17718809;2059343.106506808;23139087.96202398
323;0.02691559;21047934.44477472;2517328.904486463;23484588.16051794
324;0.02699892;20509542.03040533;2958153.672028082;23778376.8081949
