Time-Step;flow-time;current_in_a;current_in_b;current_in_c
1990;0.009950000000000001;-28767932.16861762;-3009045.620378503;31776977.78899611
2000;0.01;-28384274.82866521;-3667369.968043041;32051644.79670824
2010;0.01005;-27990532.69102127;-4324391.316620518;32314924.00764177
2020;0.0101;-27586845.65039242;-4979876.229554315;32566721.87994673
2030;0.01015;-27173357.13486202;-5633591.816176003;32806948.95103801
2040;0.0102;-26750214.05493074;-6285305.814450433;33035519.86938116
2050;0.01025;-26317566.75132005;-6934786.673497197;33252353.42481724
2060;0.0103;-25875568.94155682;-7581803.635859675;33457372.57741649
2070;0.01035;-25424377.66535821;-8226126.819492015;33650504.48485022
2080;0.0104;-24964153.22883628;-8867527.299435046;33831680.52827132
2090;0.01045;-24495059.14754193;-9505777.189152351;34000836.33669426
2100;0.0105;-24017262.08836856;-10140649.72149723;34157911.80986579
2110;0.01055;-23530931.81033621;-10771919.32928198;34302851.13961819
2120;0.0106;-23036241.10427695;-11399361.72542081;34435602.82969775
2130;0.01065;-22533365.73144316;-12022753.98261796;34556119.71406112
2140;0.0107;-22022484.36106022;-12641874.6125729;34664358.97363312
2150;0.01075;-21503778.50684649;-13256503.64467374;34760282.15152021
2160;0.0108;-20977432.46252205;-13866422.70415203;34843855.16667407
2170;0.01085;-20443633.23633017;-14471415.08967017;34915048.32600034
2180;0.0109;-19902570.48459423;-15071265.85031427;34973836.33490849
2190;0.01095;-19354436.44433354;-15665761.86196538;35020198.3062989
2200;0.011;-18799425.86496259;-16254691.90302132;35054117.76798391
2210;0.01105;-18237735.93909753;-16837846.72944273;35075582.66854025
2220;0.0111;-17669566.23249444;-17415019.14909656;35084585.38159099
2230;0.01115;-17095118.61314467;-17986004.09537039;35081122.70851506
2240;0.0112;-16514597.17955205;-18550598.70003163;35065195.87958368
2250;0.01125;-15928208.18821776;-19108602.3653056;35036810.55352336
2260;0.0113;-15336159.98035825;-19659816.83514704;34995976.81550528
2270;0.01135;-14738662.90788262;-20204046.26567951;34942709.17356213
2280;0.0114;-14135929.25865573;-20741097.29477772;34877026.55343344
2290;0.01145;-13528173.18107311;-21270779.1107683;34798952.2918414
2300;0.0115;-12915610.60797527;-21792903.52022411;34708514.12819938
2310;0.01155;-12298459.17992763;-22307285.01482869;34605744.1947563
2320;0.0116;-11676938.16789392;-22813740.83728626;34490679.00518017
2330;0.01165;-11051268.39533027;-23312091.04625466;34363359.44158492
2340;0.0117;-10421672.15972766;-23802158.58027762;34223830.74000528
2350;0.01175;-9788373.153630748;-24283769.32069378;34072142.47432452
2360;0.0118;-9151596.385160811;-24756752.15350034;33908348.53866116
2370;0.01185;-8511568.098071666;-25220939.03014895;33732507.12822061
2380;0.0119;-7868515.691366112;-25676165.02725262;33544680.71861873
2390;0.01195;-7222667.63850225;-26122268.40518222;33344936.04368447
2400;0.012;-6574253.406218044;-26559090.6655317;33133344.07174974
2410;0.01205;-5923503.373002691;-26986476.60743196;32909979.98043466
2420;0.0121;-5270648.74724434;-27404274.38269292;32674923.12993726
2430;0.01215;-4615921.485082942;-27812335.54975437;32428257.0348373
2440;0.0122;-3959554.207997147;-28210515.12642671;32170069.33442386
2450;0.01225;-3301780.120155136;-28598671.64140233;31900451.76155746
2460;0.0123;-2642832.925558218;-28976667.18451973;31619500.11007794
2470;0.01235;-1982946.745007041;-29344367.45576227;31327314.20076932
